Altium Designer Pick and Place Locations
D:\ESP32 IoT 4-layer PCB\ESP32 IoT 4-layer PCB\Project Outputs for Free Documents\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       06/08/26
Time:       23:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                              Layer    Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                  
R31        "10 kOhms"                           TopLayer YAGEO_RES_0805_2012             3667.323      1182.087      0        "RES SMD 10K OHM 1% 1/8W 0805"                                                                               
R30        "10 kOhms"                           TopLayer YAGEO_RES_0805_2012             3398.622      924.213       90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                               
R29        "10 kOhms"                           TopLayer YAGEO_RES_0805_2012             3473.425      2196.850      0        "RES SMD 10K OHM 1% 1/8W 0805"                                                                               
R28        "100 kOhms"                          TopLayer YAGEO_RES_0805_2012             3657.480      2294.291      270      "RES 100 KOHM 1% 1/4W 0805"                                                                                  
R27        "1 MOhms"                            TopLayer YAGEO_RES_0805_2012             3309.055      2302.165      270      "RES SMD 1M OHM 1% 1/8W 0805"                                                                                
R26        "1 MOhms"                            TopLayer YAGEO_RES_0805_2012             3387.795      2303.150      90       "RES SMD 1M OHM 1% 1/8W 0805"                                                                                
R25        "2 kOhms"                            TopLayer RES_0805_2012                   3231.299      2410.433      0        "RES SMD 2K OHM 0.5% 1/8W 0805"                                                                              
R24        "2 kOhms"                            TopLayer RES_0805_2012                   3377.953      2411.417      0        "RES SMD 2K OHM 0.5% 1/8W 0805"                                                                              
R23        "4.7 kOhms"                          TopLayer RES_0805_2012                   3110.236      2901.575      0        "RES 4.7K OHM 5% 1/8W 0805"                                                                                  
R22        "4.7 kOhms"                          TopLayer RES_0805_2012                   3110.236      2984.252      0        "RES 4.7K OHM 5% 1/8W 0805"                                                                                  
R21        "10 kOhms"                           TopLayer YAGEO_RES_0805_2012             3767.717      2574.803      180      "RES SMD 10K OHM 1% 1/8W 0805"                                                                               
R20        "50 Ohms"                            TopLayer RES_0805_2012                   4110.236      2047.244      90       "CRCW0805 50 1% 100 RT1"                                                                                     
R19        "10 kOhms"                           TopLayer YAGEO_RES_0805_2012             4787.402      1921.260      180      "RES SMD 10K OHM 1% 1/8W 0805"                                                                               
R18        "50 Ohms"                            TopLayer RES_0805_2012                   4251.969      1948.819      90       "CRCW0805 50 1% 100 RT1"                                                                                     
R17        "1 kOhms"                            TopLayer YAGEO_RES_0805_2012             3312.992      1723.425      90       "RESISTOR SMD"                                                                                               
R16        "470 Ohms"                           TopLayer YAGEO_RES_0805_2012             2885.827      1689.961      270      "RES SMD 470 OHM 1% 1/8W 0805"                                                                               
R15        "470 Ohms"                           TopLayer YAGEO_RES_0805_2012             2751.968      1689.961      270      "RES SMD 470 OHM 1% 1/8W 0805"                                                                               
R14        "47.5 kOhms"                         TopLayer YAGEO_RES_0805_2012             3062.008      1839.567      0        "RES SMD 47.5K OHM 1% 1/8W 0805"                                                                             
R13        "50 Ohms"                            TopLayer RES_0805_2012                   4169.292      2500.000      0        "CRCW0805 50 1% 100 RT1"                                                                                     
R12        "50 Ohms"                            TopLayer RES_0805_2012                   4170.276      2417.323      180      "CRCW0805 50 1% 100 RT1"                                                                                     
R11        "22.1 kOhms"                         TopLayer YAGEO_RES_0805_2012             3290.354      1425.197      180      "RES SMD 22.1K OHM 1% 1/8W 0805"                                                                             
R10        "470 Ohms"                           TopLayer YAGEO_RES_0805_2012             2125.984      1782.480      90       "RES SMD 470 OHM 1% 1/8W 0805"                                                                               
R9         "20 kOhms"                           TopLayer RES_0805_2012                   2330.709      1011.811      180      "RES 20K OHM 1% 1/8W 0805"                                                                                   
R8         "2 kOhms"                            TopLayer RES_0805_2012                   2321.850      929.134       0        "RESA-AS 0805 2K 5% 125MW TC200"                                                                             
R7         "10 kOhms"                           TopLayer YAGEO_RES_0805_2012             2329.724      1142.717      0        "RES SMD 10K OHM 1% 1/8W 0805"                                                                               
R6         "10 kOhms"                           TopLayer YAGEO_RES_0805_2012             2724.410      1006.890      0        "RES SMD 10K OHM 1% 1/8W 0805"                                                                               
R5         "470 Ohms"                           TopLayer YAGEO_RES_0805_2012             2453.740      1153.543      270      "RES SMD 470 OHM 1% 1/8W 0805"                                                                               
R4         "470 Ohms"                           TopLayer YAGEO_RES_0805_2012             2579.724      1157.480      270      "RES SMD 470 OHM 1% 1/8W 0805"                                                                               
R3         "5.1 kOhms"                          TopLayer RES_0805_2012                   2842.520      1022.638      270      "RES SMD 5.1K OHM 1% 1/8W 0805"                                                                              
R2         "5.1 kOhms"                          TopLayer RES_0805_2012                   2842.520      1161.417      90       "RES SMD 5.1K OHM 1% 1/8W 0805"                                                                              
R1         "470 Ohms"                           TopLayer YAGEO_RES_0805_2012             2705.709      1157.480      270      "RES SMD 470 OHM 1% 1/8W 0805"                                                                               
Q3         BC817-25LT1G                         TopLayer BC817                           3806.102      1142.716      90       "Bipolar (BJT) Single Transistor, NPN, 45 V, SOT-23"                                                         
Q2         BC817-25LT1G                         TopLayer BC817                           3524.606      1141.732      90       "Bipolar (BJT) Single Transistor, NPN, 45 V, SOT-23"                                                         
Q1         TEMT6000X01                          TopLayer PHOTO_TRANSISTOR                3770.669      2484.252      0        "Vishay Photo Transsistor, Detect visible light, ±60°Half sensitivity angle, surface mount"                  
MK1        MIC                                  TopLayer MIC                             3085.630      2158.465      180      "6.0 mm, Omnidirectional, PCB Mount, 2.0 Vdc, Electret Condenser Microphone"                                 
J5         TS-105-T-A-1                         TopLayer 5_MALE_HEADER                   1840.551      1148.228      90       "Pin Header, Precision Machined Terminal, Board-to-Board, 2.54 mm, 1 Rows, 5 Contacts, Through Hole"         
J4         "B4B-XH-AM (LF)(SN)"                 TopLayer b4b-xh-am                       1897.638      1637.795      270      "Header, Xh, Top, 4Way, 2.5Mm, Boss;"                                                                        
J3         "Memory Card"                        TopLayer Memory_Card                     4566.929      1370.079      0        "Memory Card Connector, SD, Push-Pull, 9 Contacts, Phosphor Bronze, Gold Plated Contacts, GSD"               
J2         B2B-PH-SM4-TB                        TopLayer B2B-PH-SM4-TB                   2086.614      984.252       0        "Connector Header Surface Mount 2 position 0.079 (2.00mm)"                                                   
J1         SS-52400-003                         TopLayer USB_TYPE_C                      3101.378      1093.110      0        "Conn USB Type C RCP 14 POS 0.4mm/0.8mm Solder RA Thru-Hole 14 Terminal 1 Port T/R"                          
F1         0ZCH0110AF2E                         TopLayer FUSE_0ZCH0110AF2E               2878.937      1363.189      0        "SMD Resettable Fuse, PPTC, 1210 (3225 Metric), 0ZCH, 16 VDC, 1.1 A, 2.2 A, 300 ms"                          
D6         Red                                  TopLayer Led-Red                         2885.827      1861.220      90       "HIGH PERFORMANCE CHIPLED Single Color LED, Red, Untinted Diffused, 1.4mm"                                   
D5         Green                                TopLayer LED_GREEN                       2752.953      1860.236      90       "Single-color LEDs; LITEON; LTST-C170GKT; Green; 130 °; 2.1 V; 0805"                                         
D4         Red                                  TopLayer Led-Red                         2124.016      1625.984      90       "HIGH PERFORMANCE CHIPLED Single Color LED, Red, Untinted Diffused, 1.4mm"                                   
D3         Green                                TopLayer LED_GREEN                       2439.961      1354.331      90       "Single-color LEDs; LITEON; LTST-C170GKT; Green; 130 °; 2.1 V; 0805"                                         
D2         Red                                  TopLayer Led-Red                         2687.992      1354.331      90       "HIGH PERFORMANCE CHIPLED Single Color LED, Red, Untinted Diffused, 1.4mm"                                   
D1         Blue                                 TopLayer LED_BLUE                        2565.945      1358.268      90       "Single-color LEDs; LITEON; LTST-C170TBKT; Blue; 130 °; 3.8 V; 0805"                                         
C20        "0.1 µF"                             TopLayer CAP_0805_2012                   3900.591      910.433       90       "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C19        "0.1 µF"                             TopLayer CAP_0805_2012                   3531.496      1011.811      0        "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C18        "0.1 µF"                             TopLayer CAP_0805_2012                   3577.756      2293.307      90       "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C17        "0.1 µF"                             TopLayer CAP_0805_2012                   3377.953      2493.110      180      "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C16        "0.1 µF"                             TopLayer CAP_0805_2012                   3562.409      2414.248      180      "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C15        "0.1 µF"                             TopLayer CAP_0805_2012                   2972.441      2811.023      180      "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C13        "10 µF"                              TopLayer 10_µF_Tantlum                   4582.677      1917.323      180      "CAP TANT 10UF 10% 10V 1206 / 10 µF Molded Tantalum Capacitors 10 V 1206 (3216 Metric) 3.8Ohm"               
C12        "0.1 µF"                             TopLayer CAP_0805_2012                   4582.677      2015.748      0        "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C11        4.7uF                                TopLayer 4.7uF_Tantalum                  3282.480      1599.409      0        "Tantalum Capacitor, Polarized, Tantalum (dry/solid), 10V, 10% +Tol, 10% -Tol, 4.7uF, Surface Mount, 1206"   
C10        "0.1 µF"                             TopLayer CAP_0805_2012                   3257.874      1509.842      0        "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C9         "1 µF"                               TopLayer CAP_0805_2012                   3227.362      1716.535      270      "CAP CER 1UF 16V X7R 0805"                                                                                   
C8         "10 µF"                              TopLayer 10_µF_Tantlum                   4125.984      2645.669      270      "CAP TANT 10UF 10% 10V 1206 / 10 µF Molded Tantalum Capacitors 10 V 1206 (3216 Metric) 3.8Ohm"               
C7         "0.1 µF"                             TopLayer CAP_0805_2012                   4240.158      2665.354      90       "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C6         "10 µF"                              TopLayer 10_µF_Tantlum                   2334.646      1783.465      270      "CAP TANT 10UF 10% 10V 1206 / 10 µF Molded Tantalum Capacitors 10 V 1206 (3216 Metric) 3.8Ohm"               
C5         "10 µF"                              TopLayer 10_µF_Tantlum                   2527.559      1566.929      180      "CAP TANT 10UF 10% 10V 1206 / 10 µF Molded Tantalum Capacitors 10 V 1206 (3216 Metric) 3.8Ohm"               
C4         "0.1 µF"                             TopLayer CAP_0805_2012                   2222.441      1782.480      90       "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C3         "0.1 µF"                             TopLayer CAP_0805_2012                   2527.559      1476.378      0        "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C2         "0.1 µF"                             TopLayer CAP_0805_2012                   3314.961      1295.276      180      "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C1         "1 µF"                               TopLayer CAP_0805_2012                   2725.394      891.732       90       "CAP CER 1UF 16V X7R 0805"                                                                                   
